,step,s,e,i,h,r,d,v
283,284,1654,680,491,0,0,30,7145
284,285,1654,680,491,0,0,30,7145
285,286,1654,680,491,0,0,30,7145
286,287,1654,680,491,0,0,30,7145
287,288,1582,684,488,0,0,34,7212
288,289,1582,684,488,0,0,34,7212
289,290,1582,684,488,0,0,34,7212
290,291,1582,684,488,0,0,34,7212
291,292,1582,684,488,0,0,34,7212
292,293,1582,684,488,0,0,34,7212
293,294,1582,684,488,0,0,34,7212
294,295,1582,684,488,0,0,34,7212
295,296,1582,684,488,0,0,34,7212
296,297,1582,684,488,0,0,34,7212
297,298,1582,684,488,0,0,34,7212
298,299,1582,684,488,0,0,34,7212
299,300,1502,687,486,0,0,37,7288
300,301,1502,687,486,0,0,37,7288
301,302,1502,687,486,0,0,37,7288
302,303,1502,687,486,0,0,37,7288
303,304,1502,687,486,0,0,37,7288
304,305,1502,687,486,0,0,37,7288
305,306,1502,687,486,0,0,37,7288
306,307,1502,687,486,0,0,37,7288
307,308,1502,687,486,0,0,37,7288
308,309,1502,687,486,0,0,37,7288
309,310,1502,687,486,0,0,37,7288
310,311,1502,687,486,0,0,37,7288
311,312,1426,690,482,0,0,41,7361
312,313,1426,690,482,0,0,41,7361
313,314,1426,690,482,0,0,41,7361
314,315,1426,690,482,0,0,41,7361
315,316,1426,690,482,0,0,41,7361
316,317,1426,690,482,0,0,41,7361
317,318,1426,690,482,0,0,41,7361
318,319,1426,690,482,0,0,41,7361
319,320,1426,690,482,0,0,41,7361
320,321,1426,690,482,0,0,41,7361
321,322,1426,690,482,0,0,41,7361
322,323,1426,690,482,0,0,41,7361
323,324,1352,693,482,0,0,42,7431
324,325,1352,693,482,0,0,42,7431
325,326,1352,693,482,0,0,42,7431
326,327,1352,693,482,0,0,42,7431
327,328,1352,693,482,0,0,42,7431
328,329,1352,693,482,0,0,42,7431
329,330,1352,693,482,0,0,42,7431
330,331,1352,693,482,0,0,42,7431
331,332,1352,693,482,0,0,42,7431
332,333,1352,693,482,0,0,42,7431
333,334,1352,693,482,0,0,42,7431
334,335,1352,693,482,0,0,42,7431
335,336,1292,694,480,0,0,45,7489
336,337,1292,694,480,0,0,45,7489
337,338,1292,694,480,0,0,45,7489
338,339,1292,694,480,0,0,45,7489
339,340,1292,694,480,0,0,45,7489
340,341,1292,694,480,0,0,45,7489
341,342,1292,694,480,0,0,45,7489
342,343,1292,694,480,0,0,45,7489
343,344,1292,694,480,0,0,45,7489
344,345,1292,694,480,0,0,45,7489
345,346,1292,694,480,0,0,45,7489
346,347,1292,694,480,0,0,45,7489
347,348,1234,696,476,0,0,50,7544
348,349,1234,696,476,0,0,50,7544
349,350,1234,696,476,0,0,50,7544
350,351,1234,696,476,0,0,50,7544
351,352,1234,696,476,0,0,50,7544
352,353,1234,696,476,0,0,50,7544
353,354,1234,696,476,0,0,50,7544
354,355,1234,696,476,0,0,50,7544
355,356,1234,696,476,0,0,50,7544
356,357,1234,696,476,0,0,50,7544
357,358,1234,696,476,0,0,50,7544
358,359,1234,696,476,0,0,50,7544
359,360,1182,697,471,0,0,56,7594
