,step,s,e,i,h,r,d,v
61,62,7273,395,724,503,0,370,735
62,63,7273,395,684,543,0,370,735
63,64,7273,395,641,584,0,372,735
64,65,7273,395,616,609,0,372,735
65,66,7273,395,586,639,0,372,735
66,67,7273,395,562,663,0,372,735
67,68,7273,395,540,685,0,372,735
68,69,7273,395,525,699,0,373,735
69,70,7273,395,505,719,0,373,735
70,71,7273,395,493,730,0,374,735
71,72,7253,175,720,739,0,375,738
72,73,7253,175,665,793,0,376,738
73,74,7253,175,609,849,0,376,738
74,75,7253,175,566,892,0,376,738
75,76,7253,175,535,921,0,378,738
76,77,7253,175,505,951,0,378,738
77,78,7253,175,489,967,0,378,738
78,79,7253,175,477,979,0,378,738
79,80,7253,175,476,980,0,378,738
80,81,7253,175,472,984,0,378,738
81,82,7253,175,465,991,0,378,738
82,83,7253,175,458,747,221,408,738
83,84,7244,63,549,660,305,440,739
84,85,7244,63,511,664,326,453,739
85,86,7244,63,480,670,338,466,739
86,87,7244,63,450,672,348,484,739
87,88,7244,63,422,677,355,500,739
88,89,7244,63,402,683,356,513,739
89,90,7244,63,386,687,358,523,739
90,91,7244,63,374,692,359,529,739
91,92,7244,63,355,697,361,541,739
92,93,7244,63,339,701,361,553,739
93,94,7244,63,328,704,361,561,739
94,95,7244,63,321,704,362,567,739
95,96,7239,50,333,699,362,578,739
96,97,7239,50,305,710,363,594,739
97,98,7239,50,287,711,363,611,739
98,99,7239,50,276,712,363,621,739
99,100,7239,50,272,712,363,625,739
100,101,7239,50,264,712,363,633,739
101,102,7239,50,255,711,363,643,739
102,103,7239,50,252,711,363,646,739
103,104,7239,50,247,708,363,654,739
104,105,7239,50,245,708,363,656,739
105,106,7239,50,244,708,363,657,739
106,107,7239,50,240,698,363,671,739
107,108,7235,45,242,675,363,701,739
108,109,7235,45,233,667,363,718,739
109,110,7235,45,232,652,363,734,739
110,111,7235,45,226,638,363,754,739
111,112,7235,45,219,628,363,771,739
112,113,7235,45,217,621,363,780,739
113,114,7235,45,216,612,363,790,739
114,115,7235,45,212,597,363,809,739
115,116,7235,45,211,586,363,821,739
116,117,7235,45,208,581,363,829,739
117,118,7235,45,206,578,363,834,739
118,119,7235,45,205,565,363,848,739
119,120,7232,41,211,551,363,863,739
120,121,7232,41,204,532,363,889,739
121,122,7232,41,198,524,363,903,739
122,123,7232,41,196,516,363,913,739
123,124,7232,41,195,508,363,922,739
124,125,7232,41,195,501,363,929,739
125,126,7232,41,195,495,363,935,739
126,127,7232,41,195,488,363,942,739
127,128,7232,41,195,487,363,943,739
128,129,7232,41,195,479,363,951,739
129,130,7232,41,195,474,363,956,739
130,131,7232,41,195,470,363,960,739
131,132,7231,40,197,467,363,963,739
132,133,7231,40,196,466,363,965,739
133,134,7231,40,195,463,363,969,739
134,135,7231,40,195,462,363,970,739
135,136,7231,40,195,462,363,970,739
136,137,7231,40,195,456,363,976,739
137,138,7231,40,195,454,363,978,739
138,139,7231,40,195,453,363,979,739
139,140,7231,40,195,452,363,980,739
140,141,7231,40,195,450,363,982,739
141,142,7231,40,195,449,363,983,739
142,143,7231,40,195,127,676,992,739
143,144,7231,39,170,81,718,1022,739
144,145,7231,39,144,77,720,1050,739
145,146,7231,39,116,72,720,1083,739
